,INSEE_COM,NOM_COMMUNE,Nb_Permis,Part_Permis_annules,Part_Demandeurs_MEME_COMMUN,Part_Demandeurs_MEME_EPCI,Part_Demandeurs_MEME_DEP,Part_Demandeurs_BRETAGNE,Part_Demandeurs_Ouest,Part_Demandeurs_LOINTAINS,Nouveaux_Logements,Resid_secondaire,Surface_terrains,Surface_Logements,Surface_Locaux,Surface_hotels,Surface_bureaux,Surface_commerces,Surface_artisanat,Surface_industrie,Surface_bat_agricoles,Surface_entrepots,Surface_services_publics
158,29182,Plouégat-Guérand,1,0.0,0.0,100.0,100.0,100.0,100.0,0.0,1,0,787.0,180.0,0.0,0,0,0,0,0,0,0,0
159,29184,Plouénan,17,0.0,65.0,71.0,94.0,94.0,94.0,6.0,12,0,275421.0,2061.0,27285.0,0,434,0,908,0,25545,378,0
160,29185,Plouescat,28,0.0,57.0,71.0,89.0,89.0,89.0,11.0,40,1,67637.0,3746.0,13607.0,0,0,0,0,0,13272,0,335
161,29186,Plouezoc'h,20,0.0,25.0,65.0,80.0,80.0,80.0,20.0,17,1,2990.0,2240.0,213.0,0,0,0,0,0,0,211,2
162,29188,Plougasnou,15,0.0,33.0,60.0,60.0,93.0,93.0,7.0,13,0,117995.0,1745.0,1933.0,0,0,0,0,0,1933,0,0
163,29189,Plougastel-Daoulas,51,0.0,12.0,27.0,92.0,92.0,92.0,8.0,74,0,140637.0,7144.0,3645.0,0,0,439,0,0,2161,495,225
164,29190,Plougonvelin,29,0.0,38.0,55.0,76.0,79.0,79.0,21.0,57,0,198989.0,5551.0,1020.0,0,0,0,253,8,279,480,0
165,29192,Plougoulm,20,0.0,30.0,75.0,85.0,85.0,90.0,10.0,22,0,14649.0,2424.0,30750.0,0,0,0,0,0,30750,0,0
166,29195,Plouguerneau,41,0.0,22.0,59.0,88.0,90.0,90.0,10.0,75,7,43012.0,6125.0,536.0,0,0,0,0,0,536,0,0
167,29196,Plouguin,4,0.0,25.0,25.0,75.0,75.0,75.0,25.0,3,0,38959.0,311.0,14.0,0,0,0,0,14,0,0,0
168,29197,Plouhinec,62,0.0,21.0,32.0,68.0,79.0,79.0,21.0,59,7,131603.0,6518.0,2558.0,0,0,0,837,0,0,0,1721
169,29198,Plouider,40,0.0,22.0,60.0,88.0,88.0,90.0,10.0,39,1,25017.0,3442.0,126.0,0,0,0,0,0,126,0,0
170,29201,Ploumoguer,30,0.0,37.0,63.0,100.0,100.0,100.0,0.0,36,0,128737.0,3276.0,856.0,0,0,0,0,0,80,0,696
