,INSEE_COM,NOM_COMMUNE,SIREN_EPCI,TacheUrb2014,Nb_Permis,Part_Permis_annules,Part_Demandeurs_MEME_COMMUN,Part_Demandeurs_MEME_EPCI,Part_Demandeurs_MEME_DEP,Part_Demandeurs_BRETAGNE,Part_Demandeurs_Ouest,Part_Demandeurs_LOINTAINS,Nouveaux_Logements,Resid_secondaire,Surface_terrains,Surface_Logements,Surface_Locaux,Surface_hotels,Surface_bureaux,Surface_commerces,Surface_artisanat,Surface_industrie,Surface_bat_agricoles,Surface_entrepots,Surface_services_publics
78,22199,Pleumeur-Gautier,200065928,extérieur,17,0.0,59.0,76.0,88.0,88.0,100.0,0.0,9,0,193760.0,1020.0,8107.0,0,0,0,0,0,8075,0,32
79,22199,Pleumeur-Gautier,200065928,intérieur,21,5.0,76.0,95.0,95.0,95.0,95.0,5.0,14,0,58157.0,1370.0,2019.0,0,0,124,0,0,1736,149,10
80,22201,Plévenon,200068989,extérieur,18,6.0,6.0,6.0,50.0,61.0,72.0,28.0,15,3,101858.0,1606.0,1842.0,0,0,0,19,0,1784,20,0
81,22201,Plévenon,200068989,intérieur,34,12.0,6.0,6.0,50.0,56.0,65.0,35.0,34,9,51127.0,3628.0,156.0,0,0,0,0,0,156,0,0
82,22204,Ploëzal,200067981,intérieur,1,0.0,100.0,100.0,100.0,100.0,100.0,0.0,0,0,1060.0,0.0,159.0,0,0,0,0,0,159,0,0
83,22209,Beaussais-sur-Mer,200068989,extérieur,332,3.0,10.0,15.0,39.0,86.0,93.0,7.0,422,103,280399.0,41403.0,3437.0,0,210,402,153,462,2203,0,7
84,22209,Beaussais-sur-Mer,200068989,intérieur,135,5.0,33.0,36.0,56.0,84.0,88.0,12.0,319,23,305359.0,26108.0,11934.0,10,646,1076,1434,0,6021,1720,1027
85,22210,Ploubazlanec,200067981,extérieur,55,4.0,49.0,60.0,73.0,84.0,89.0,11.0,53,4,181639.0,6131.0,27977.0,0,0,0,0,0,27968,0,9
86,22210,Ploubazlanec,200067981,intérieur,119,3.0,44.0,65.0,79.0,86.0,87.0,13.0,151,20,332928.0,15390.0,23782.0,0,0,0,453,0,23038,291,0
87,22211,Ploubezre,200065928,extérieur,68,0.0,49.0,82.0,88.0,93.0,93.0,7.0,97,2,83468.0,9539.0,2053.0,0,71,0,350,0,1632,0,0
88,22211,Ploubezre,200065928,intérieur,45,4.0,38.0,80.0,91.0,93.0,93.0,7.0,68,2,78907.0,7987.0,1335.0,0,86,67,0,17,475,0,690
89,22213,Plouër-sur-Rance,200068989,extérieur,97,9.0,18.0,37.0,55.0,96.0,97.0,3.0,92,0,296768.0,10261.0,7194.0,0,0,117,585,238,5545,275,42
90,22213,Plouër-sur-Rance,200068989,intérieur,97,7.0,18.0,28.0,62.0,94.0,96.0,4.0,95,3,196361.0,12022.0,5475.0,93,258,2157,575,0,0,1318,801
